# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AAO2	AT3G43600	AT3G43600.1	protein_coding	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	1
AAP19-1	AT2G17380	AT2G17380.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AAP2	AT5G09220	AT5G09220.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AAP3	AT1G77380	AT1G77380.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AAP6	AT5G49630	AT5G49630.1	protein_coding	0	2	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0
AAP8	AT1G10010	AT1G10010.1	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3
AAR3	AT3G28970	AT3G28970.1	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AAT1	AT5G48230	AT5G48230.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AAT1	AT5G48230	AT5G48230.2	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AATL1	AT1G47670	AT1G47670.1	protein_coding	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
ABA3	AT1G16540	AT1G16540.1	protein_coding	1	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0
ABA4	AT1G67080	AT1G67080.1	protein_coding	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ABCA1	AT2G41700	AT2G41700.1	protein_coding	3	2	1	5	0	0	0	0	8	1	0	2	0	2	0	1	0	1
ABCA1	AT2G41700	AT2G41700.2	protein_coding	2	2	1	6	0	0	0	0	9	1	0	2	0	2	0	0	0	1
ABCA7	AT3G47780	AT3G47780.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ABCA8	AT3G47790	AT3G47790.1	protein_coding	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ABCB1	AT2G36910	AT2G36910.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ABCB2	AT4G25960	AT4G25960.1	protein_coding	0	0	0	8	0	0	0	8	0	0	0	0	0	0	0	0	0	0
ABCB21	AT3G62150	AT3G62150.1	protein_coding	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
ABCB26	AT1G70610	AT1G70610.1	protein_coding	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1
ABCB27	AT5G39040	AT5G39040.1	protein_coding	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
ABCB28	AT4G25450	AT4G25450.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCB28	AT4G25450	AT4G25450.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCB28	AT4G25450	AT4G25450.3	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCB6	AT2G39480	AT2G39480.1	protein_coding	0	2	1	0	0	0	0	0	2	1	0	0	0	2	0	0	0	0
ABCB7	AT5G46540	AT5G46540.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCC1	AT1G30400	AT1G30400.1	protein_coding	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
ABCC1	AT1G30400	AT1G30400.2	protein_coding	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
ABCC1	AT4G39850	AT4G39850.1	protein_coding	0	2	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0
ABCC1	AT4G39850	AT4G39850.2	protein_coding	0	2	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0
ABCC1	AT4G39850	AT4G39850.3	protein_coding	0	2	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0
ABCC11	AT1G30420	AT1G30420.1	protein_coding	1	0	1	1	0	0	0	1	1	1	0	0	1	0	0	0	0	0
ABCC2	AT1G54350	AT1G54350.1	protein_coding	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	1
ABCC3	AT3G13080	AT3G13080.1	protein_coding	0	0	1	3	0	0	0	3	0	1	0	0	0	0	0	0	0	0
ABCC3	AT3G13080	AT3G13080.2	protein_coding	0	0	1	3	0	0	0	3	0	1	0	0	0	0	0	0	0	0
ABCC3	AT3G13080	AT3G13080.3	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0
ABCC3	AT3G13080	AT3G13080.4	protein_coding	0	0	0	4	1	0	0	3	0	0	0	0	0	0	0	0	0	0
ABCC4	AT2G47800	AT2G47800.1	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ABCC5	AT1G04120	AT1G04120.1	protein_coding	1	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0
ABCC5	AT1G04120	AT1G04120.2	protein_coding	1	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0
ABCC6	AT3G13090	AT3G13090.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCC7	AT3G13100	AT3G13100.1	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ABCC9	AT3G60160	AT3G60160.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCE3	AT4G30300	AT4G30300.1	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ABCF5	AT5G64840	AT5G64840.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ABCG14	AT1G31770	AT1G31770.1	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ABCG16	AT3G55090	AT3G55090.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCG2	AT2G37360	AT2G37360.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCG20	AT3G53510	AT3G53510.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCG24	AT1G53390	AT1G53390.1	protein_coding	1	0	2	3	0	0	0	3	1	2	0	0	1	0	0	0	0	0
ABCG25	AT1G71960	AT1G71960.1	protein_coding	0	1	0	2	0	0	0	1	2	0	0	0	0	1	0	0	0	0
ABCG26	AT3G13220	AT3G13220.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ABCG3	AT2G28070	AT2G28070.1	protein_coding	0	0	1	3	0	0	0	3	0	1	0	0	0	0	0	0	0	0
ABCG33	AT2G37280	AT2G37280.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ABCG34	AT2G36380	AT2G36380.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCG37	AT3G53480	AT3G53480.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCG9	AT4G27420	AT4G27420.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCI1	AT1G63270	AT1G63270.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCI11	AT5G14100	AT5G14100.1	protein_coding	0	1	0	7	0	0	0	0	2	0	0	0	0	1	0	0	0	6
ABCI17	AT1G67940	AT1G67940.1	protein_coding	0	2	1	1	0	0	0	1	0	1	0	0	0	0	0	0	2	0
ABCI21	AT5G44110	AT5G44110.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCI21	AT5G44110	AT5G44110.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCI21	AT5G44110	AT5G44110.3	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ABCI6	AT3G10670	AT3G10670.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCI7	AT1G32500	AT1G32500.1	protein_coding	0	0	0	4	1	0	0	3	0	0	0	0	0	0	0	0	0	0
ABF1	AT1G49720	AT1G49720.1	protein_coding	1	0	0	5	0	0	0	0	6	0	0	0	1	0	0	0	0	0
ABF1	AT1G49720	AT1G49720.2	protein_coding	0	0	1	5	0	0	0	0	5	1	0	0	0	0	0	0	0	0
ABF4	AT3G19290	AT3G19290.1	protein_coding	1	1	0	3	0	0	0	0	5	0	0	0	1	1	0	0	0	0
ABF4	AT3G19290	AT3G19290.2	protein_coding	1	1	0	3	0	0	0	0	5	0	0	0	1	1	0	0	0	0
ABF4	AT3G19290	AT3G19290.3	protein_coding	1	1	0	3	0	0	0	0	5	0	0	0	1	1	0	0	0	0
ABH1	AT2G13540	AT2G13540.1	protein_coding	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
ABIL1	AT2G46225	AT2G46225.1	protein_coding	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
ABIL1	AT2G46225	AT2G46225.2	protein_coding	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
ABIL1	AT2G46225	AT2G46225.3	protein_coding	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
ABIL3	AT5G24310	AT5G24310.1	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ABIL3	AT5G24310	AT5G24310.2	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ABR1	AT5G64750	AT5G64750.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACA10	AT4G29900	AT4G29900.1	protein_coding	1	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0
ACA11	AT3G57330	AT3G57330.1	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ACA8	AT5G57110	AT5G57110.1	protein_coding	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
ACA8	AT5G57110	AT5G57110.2	protein_coding	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
ACBP6	AT1G31812	AT1G31812.1	protein_coding	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
ACC1	AT1G36160	AT1G36160.1	protein_coding	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ACC1	AT1G36160	AT1G36160.2	protein_coding	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ACD6	AT4G14400	AT4G14400.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACD6	AT4G14400	AT4G14400.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACD6	AT4G14400	AT4G14400.3	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACG12	AT5G40760	AT5G40760.1	protein_coding	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
ACG9	AT3G27300	AT3G27300.1	protein_coding	1	1	1	0	0	0	0	0	2	1	0	1	0	1	0	0	0	0
ACG9	AT3G27300	AT3G27300.2	protein_coding	1	1	1	0	0	0	0	0	2	1	0	1	0	1	0	0	0	0
ACG9	AT3G27300	AT3G27300.3	protein_coding	0	0	1	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0
ACHT2	AT4G29670	AT4G29670.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACHT2	AT4G29670	AT4G29670.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACL5	AT5G19530	AT5G19530.1	protein_coding	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
ACL5	AT5G19530	AT5G19530.2	protein_coding	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
ACLA-2	AT1G60810	AT1G60810.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACLB-1	AT3G06650	AT3G06650.1	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ACLB-2	AT5G49460	AT5G49460.1	protein_coding	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
ACO1	AT2G19590	AT2G19590.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ACO3	AT4G26970	AT4G26970.1	protein_coding	1	0	0	3	0	0	0	1	1	0	0	1	0	0	0	0	0	2
ACP1	AT3G05020	AT3G05020.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACP3	AT1G54630	AT1G54630.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACP3	AT1G54630	AT1G54630.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACP5	AT5G27200	AT5G27200.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACR1	AT5G65890	AT5G65890.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACR1	AT5G65890	AT5G65890.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACR5	AT2G03730	AT2G03730.1	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ACR5	AT2G03730	AT2G03730.2	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ACR9	AT2G39570	AT2G39570.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ACS	AT5G36880	AT5G36880.1	protein_coding	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ACS	AT5G36880	AT5G36880.2	protein_coding	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ACS12	AT5G51690	AT5G51690.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ACS2	AT1G01480	AT1G01480.1	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0	0	0
ACS2	AT1G01480	AT1G01480.2	protein_coding	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0	0	0
ACS7	AT4G26200	AT4G26200.1	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
ACS9	AT3G49700	AT3G49700.1	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5
ACT5	AT2G42100	AT2G42100.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ACT7	AT5G09810	AT5G09810.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACX1	AT4G16760	AT4G16760.1	protein_coding	0	1	0	5	0	0	0	0	6	0	0	0	0	1	0	0	0	0
ACX1	AT4G16760	AT4G16760.2	protein_coding	0	1	0	5	0	0	0	0	6	0	0	0	0	1	0	0	0	0
ACX3	AT1G06290	AT1G06290.1	protein_coding	0	1	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0
ACX3.2	AT1G06310	AT1G06310.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ACX4	AT3G51840	AT3G51840.1	protein_coding	0	0	0	3	1	0	0	2	0	0	0	0	0	0	0	0	0	0
ADA2A	AT3G07740	AT3G07740.1	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ADA2A	AT3G07740	AT3G07740.2	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ADA2A	AT3G07740	AT3G07740.3	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ADA2A	AT3G07740	AT3G07740.4	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ADA2B	AT4G16420	AT4G16420.1	protein_coding	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1
ADA2B	AT4G16420	AT4G16420.2	protein_coding	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1
ADA2B	AT4G16420	AT4G16420.3	protein_coding	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1
ADAP	AT1G16060	AT1G16060.1	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ADAP	AT1G16060	AT1G16060.2	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ADF1	AT3G46010	AT3G46010.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ADF1	AT3G46010	AT3G46010.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ADF10	AT1G01750	AT1G01750.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADF12	AT5G52360	AT5G52360.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ADF7	AT4G25590	AT4G25590.1	protein_coding	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	1
ADG2	AT5G19220	AT5G19220.1	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	6
ADK1	AT1G03930	AT1G03930.1	protein_coding	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ADK1	AT3G09820	AT3G09820.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADK1	AT3G09820	AT3G09820.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADK2	AT5G50370	AT5G50370.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ADO1	AT5G57360	AT5G57360.1	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ADO1	AT5G57360	AT5G57360.2	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ADO2	AT2G18915	AT2G18915.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADO2	AT2G18915	AT2G18915.2	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADO3	AT1G68050	AT1G68050.1	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ADPG2	AT2G41850	AT2G41850.1	protein_coding	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
ADR1	AT1G33560	AT1G33560.1	protein_coding	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
ADR1-L2	AT5G04720	AT5G04720.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ADS3	AT3G15850	AT3G15850.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADS3.2	AT3G15870	AT3G15870.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ADT3	AT2G27820	AT2G27820.1	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0
AE7	AT1G68310	AT1G68310.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AE7	AT1G68310	AT1G68310.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AEE21	AT1G76290	AT1G76290.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AEE22	AT1G68270	AT1G68270.1	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AERO2	AT2G38960	AT2G38960.1	protein_coding	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
AERO2	AT2G38960	AT2G38960.2	protein_coding	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
AERO2	AT2G38960	AT2G38960.3	protein_coding	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
AFC1	AT3G53570	AT3G53570.1	protein_coding	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1
AFC1	AT3G53570	AT3G53570.2	protein_coding	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1
AFC1	AT3G53570	AT3G53570.3	protein_coding	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1
AFC1	AT3G53570	AT3G53570.4	protein_coding	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1
AFC2	AT4G24740	AT4G24740.1	protein_coding	0	2	1	6	0	0	0	0	8	1	0	0	0	2	0	0	0	0
AFC2	AT4G24740	AT4G24740.2	protein_coding	0	2	1	6	0	0	0	0	8	1	0	0	0	2	0	0	0	0
AFC3	AT4G32660	AT4G32660.1	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AFC3	AT4G32660	AT4G32660.2	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AFC3	AT4G32660	AT4G32660.3	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AFP3	AT3G29575	AT3G29575.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AFP3	AT3G29575	AT3G29575.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AFP3	AT3G29575	AT3G29575.4	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AGAL1	AT5G08380	AT5G08380.1	protein_coding	0	0	1	2	0	0	0	1	0	1	0	0	0	0	0	0	0	1
AGAL2	AT5G08370	AT5G08370.1	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1
AGAL2	AT5G08370	AT5G08370.2	protein_coding	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1
AGAL3	AT3G56310	AT3G56310.1	protein_coding	1	0	0	7	0	0	0	0	8	0	0	0	1	0	0	0	0	0
AGAL3	AT3G56310	AT3G56310.2	protein_coding	1	0	0	7	0	0	0	0	8	0	0	0	1	0	0	0	0	0
AGC1-7	AT1G79250	AT1G79250.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AGC1-7	AT1G79250	AT1G79250.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AGD11	AT3G07940	AT3G07940.1	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AGD12	AT4G21160	AT4G21160.1	protein_coding	0	0	1	8	0	0	0	3	0	1	0	0	0	0	0	0	0	5
AGD12	AT4G21160	AT4G21160.2	protein_coding	0	0	1	8	0	0	0	3	0	1	0	0	0	0	0	0	0	5
AGD12	AT4G21160	AT4G21160.3	protein_coding	0	0	1	8	0	0	0	3	0	1	0	0	0	0	0	0	0	5
AGD12	AT4G21160	AT4G21160.4	protein_coding	0	0	1	8	0	0	0	3	0	1	0	0	0	0	0	0	0	5
AGD13	AT4G05330	AT4G05330.1	protein_coding	0	0	0	8	0	0	0	8	0	0	0	0	0	0	0	0	0	0
AGD14	AT1G08680	AT1G08680.1	protein_coding	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	1
AGD14	AT1G08680	AT1G08680.2	protein_coding	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	1
AGD14	AT1G08680	AT1G08680.3	protein_coding	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	1
